GHG Emissions(tonne (Mt) of CO2e),,2020,2021,2022
GHG emissions from business sites,,,,
GHG emissions from business sites1),"1,000 tonnes CO2e","14,806","17,400","15,053"
Direct emissions (Scope 1),"1,000 tonnes CO2e","5,726","7,604","5,972"
Indirect emissions (Scope 2)2),"1,000 tonnes CO2e","9,079","9,796","9,081"
GHG emissions intensity3),Tonnes CO2e / KRW 100 million,6.6,6.7,5.4
CO₂,"1,000 tonnes CO2e","10,266","11,005","10,336"
CH₄,"1,000 tonnes CO2e",3,3,3
N₂O,"1,000 tonnes CO2e",329,489,530
HFCs,"1,000 tonnes CO2e",685,902,679
PFCs,"1,000 tonnes CO2e","3,322","4,787","3,333"
SF₆,"1,000 tonnes CO2e",202,214,173
"1. GHG emissions from business sites: Calculated based * Location-based GHG emissions that do not reflect CO2e in 2021, and 19,892,000 tonnes CO2e in 2022 2. Indirect emissions (Scope 2) from business sites: 3. GHG emissions intensity: GHG emissions from DS division (absolute value), KRW 100 million)",on country-specific GHG the use of renewable energy: Market-based GHG emissions business sites (Scopes 1 and 2) /,"management guidelines, the 17,571,000 tonnes that reflect the use of Sales (sales of DX division","IPCC Guidelines, CO2e in 2020, 20,170,000 renewable energy (absolute value)",and ISO 14064 tonnes + sales of
GHG emissions management (Scope 3) Other indirect,,2020,2021,2022
emissions (Scope 3) Purchased products and services,"1,000 tonnes CO2e 1,000 tonnes CO2e",,,"124,715 14,596"
Capital goods,"1,000 tonnes CO2e",,,"1,508"
Fuel- and energy-related activities,"1,000 tonnes CO2e",,,900
Upstream transportation and distribution,"1,000 tonnes CO2e",,,"3,965"
Waste generation and treatment,"1,000 tonnes CO2e",,,246
Business trips of employees,"1,000 tonnes CO2e",,,87
Commuting of employees,"1,000 tonnes CO2e",,,303
Rented assets,"1,000 tonnes CO2e",,,107
Downstream transportation and distribution,"1,000 tonnes CO2e",,,366
Processing of sold products,"1,000 tonnes CO2e",,,142
Use of sold products,"1,000 tonnes CO2e",,,"101,236"
Discard of sold products,"1,000 tonnes CO2e",,,"1,206"
Leased assets,"1,000 tonnes CO2e",,,1
Investment,"1,000 tonnes CO2e",,,52
