unnamed: 0,unnamed: 1,storage,configurations,unnamed: 4,unnamed: 5,displays
Laptops,Unit,256GB,512GB,1TB,,Studio
16-inch MacBook Pro (2023) Apple M3 Pro chip,kg CO2e,–,290,–,,Pro Display
16-inch MacBook Pro (2023) Apple M3 Max chip,kg CO2e,–,–,348,,HomePod
15-inch MacBook Air (2024) Apple M3 chip,kg CO2e,158,167,–,,HomePod
14-inch MacBook Pro (2023) Apple M3 chip,kg CO2e,–,202,–,,HomePod
14-inch MacBook Pro (2023) Apple M3 Pro chip,kg CO2e,–,235,–,,
14-inch MacBook Pro (2023) Apple M3 Max chip,kg CO2e,–,–,296,,
13-inch MacBook Air (2022) Apple M2 chip,kg CO2e,147,171,–,,Apple
13-inch MacBook Air (2024) Apple M3 chip,kg CO2e,135,144,–,,Apple Vision
,,Storage,configurations,,,
Desktops,Unit,256GB,512GB,1TB,4TB,Apple
iMac Two ports,kg CO2e,359,–,–,–,Apple TV
iMac Four ports,kg CO2e,–,389,–,–,Apple TV
Mac mini (2023) Apple M2 Pro chip,kg CO2e,–,150,–,–,
Mac mini (2023) Apple M2 chip,kg CO2e,112,126,–,–,
Mac Studio (2023) Apple M2 Max,kg CO2e,–,290,–,–,
Mac Studio (2023) Apple M2 Ultra,kg CO2e,–,–,346,–,
Mac Pro (2023),kg CO2e,–,–,1572,–,
